日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210430,1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20210430,1305,ダイワ上場投信トピックス,ETF・ETN,,,,,,
20210430,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,,,,,,
20210430,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,,,,,,
20210430,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,,,,,,
20210430,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,,,,,,
20210430,1312,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コア・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,,,,,,
20210430,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,,,,,,
20210430,1320,ダイワ上場投信日経２２５,ETF・ETN,,,,,,
20210430,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,,,,,,
20210430,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,,,,,,
20210430,1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,ETF・ETN,,,,,,
20210430,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN,,,,,,
20210430,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,,,,,,
20210430,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,,,,,,
20210430,1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN,,,,,,
20210430,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,,,,,,
20210430,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,,,,,,
20210430,1330,上場インデックスファンド２２５,ETF・ETN,,,,,,
20210430,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
20210430,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品 ,4,TOPIX Mid400
20210430,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,ETF・ETN,,,,,,
20210430,1344,ＭＡＸＩＳ　トピックス・コア３０上場投信,ETF・ETN,,,,,,
20210430,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,,,,,,
20210430,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,,,,,,
20210430,1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,,,,,,
20210430,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,,,,,,
20210430,1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売 ,7,TOPIX Small 2
20210430,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,,,,,,
20210430,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,,,,,,
20210430,1360,日経平均ベア２倍上場投信,ETF・ETN,,,,,,
20210430,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,,,,,,
20210430,1365,ダイワ上場投信日経平均レバレッジ・インデックス,ETF・ETN,,,,,,
20210430,1366,ダイワ上場投信日経平均ダブルインバース・インデックス,ETF・ETN,,,,,,
20210430,1367,ダイワ上場投信ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,,,,,,
20210430,1368,ダイワ上場投信ＴＯＰＩＸダブルインバース（２倍）指数,ETF・ETN,,,,,,
20210430,1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,,,,,,
20210430,1375,雪国まいたけ,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20210430,1376,カネコ種苗,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20210430,1377,サカタのタネ,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
20210430,1379,ホクト,市場第一部（内国株）,50,水産・農林業,1,食品 ,6,TOPIX Small 1
20210430,1380,秋川牧園,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,,
20210430,1381,アクシーズ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,,
20210430,1382,ホーブ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,,
20210430,1383,ベルグアース,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品 ,,
20210430,1384,ホクリヨウ,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20210430,1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,ETF・ETN,,,,,,
20210430,1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,ETF・ETN,,,,,,
20210430,1387,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,ETF・ETN,,,,,,
20210430,1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,ETF・ETN,,,,,,
20210430,1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,ETF・ETN,,,,,,
20210430,1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,ETF・ETN,,,,,,
20210430,1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,ETF・ETN,,,,,,
20210430,1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,ETF・ETN,,,,,,
20210430,1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,ETF・ETN,,,,,,
20210430,1394,ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）,ETF・ETN,,,,,,
20210430,1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,,,,,,
20210430,1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,,,,,,
20210430,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,,,,,,
20210430,1400,ルーデン・ホールディングス,JASDAQ(グロース・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1401,エムビーエス,マザーズ（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1407,ウエストホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1413,ヒノキヤグループ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1414,ショーボンドホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20210430,1417,ミライト・ホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20210430,1418,インターライフホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1419,タマホーム,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1420,サンヨーホームズ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1429,日本アクア,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1430,ファーストコーポレーション,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1431,Ｌｉｂ　Ｗｏｒｋ,マザーズ（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1432,動力,PRO Market,2050,建設業,3,建設・資材 ,,
20210430,1433,ベステラ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1434,ＪＥＳＣＯホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1435,Ｒｏｂｏｔ　Ｈｏｍｅ,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1436,フィット,マザーズ（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1439,安江工務店,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1440,やまぜんホームズ,PRO Market,2050,建設業,3,建設・資材 ,,
20210430,1443,技研ホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1445,ひかりホールディングス,PRO Market,2050,建設業,3,建設・資材 ,,
20210430,1446,キャンディル,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1447,ＩＴｂｏｏｋホールディングス,マザーズ（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1448,スペースバリューホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1450,田中建設工業,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1451,ＫＨＣ,市場第二部（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1452,横浜ライト工業,PRO Market,2050,建設業,3,建設・資材 ,,
20210430,1456,ダイワ上場投信日経平均インバース・インデックス,ETF・ETN,,,,,,
20210430,1457,ダイワ上場投信ＴＯＰＩＸインバース（１倍）指数,ETF・ETN,,,,,,
20210430,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,,,,,,
20210430,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,,,,,,
20210430,1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,ETF・ETN,,,,,,
20210430,1464,ダイワ上場投信ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,,,,,,
20210430,1465,ダイワ上場投信ＪＰＸ日経４００インバース・インデックス,ETF・ETN,,,,,,
20210430,1466,ダイワ上場投信ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,,,,,,
20210430,1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF・ETN,,,,,,
20210430,1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF・ETN,,,,,,
20210430,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,,,,,,
20210430,1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,,,,,,
20210430,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,,,,,,
20210430,1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,,,,,,
20210430,1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,,,,,,
20210430,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,,,,,,
20210430,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,,,,,,
20210430,1479,ダイワ上場投信ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,,,,,,
20210430,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,,,,,,
20210430,1481,上場インデックスファンド日本経済貢献株,ETF・ETN,,,,,,
20210430,1482,ｉシェアーズ・コア　米国債７１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,,,,,,
20210430,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,,,,,,
20210430,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,,,,,,
20210430,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,,,,,,
20210430,1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,,,,,,
20210430,1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,,,,,,
20210430,1488,ダイワ上場投信東証ＲＥＩＴ指数,ETF・ETN,,,,,,
20210430,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,,,,,,
20210430,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,,,,,,
20210430,1491,中外鉱業,市場第二部（内国株）,3500,非鉄金属,7,鉄鋼・非鉄 ,,
20210430,1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF・ETN,,,,,,
20210430,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN,,,,,,
20210430,1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN,,,,,,
20210430,1495,上場インデックスファンドアジアリート,ETF・ETN,,,,,,
20210430,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,,,,,,
20210430,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,,,,,,
20210430,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,,,,,,
20210430,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN,,,,,,
20210430,1514,住石ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20210430,1515,日鉄鉱業,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20210430,1518,三井松島ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20210430,1540,純金上場信託（現物国内保管型）,ETF・ETN,,,,,,
20210430,1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN,,,,,,
20210430,1542,純銀上場信託（現物国内保管型）,ETF・ETN,,,,,,
20210430,1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN,,,,,,
20210430,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ１００連動型上場投信,ETF・ETN,,,,,,
20210430,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,ETF・ETN,,,,,,
20210430,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN,,,,,,
20210430,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN,,,,,,
20210430,1551,ＪＡＳＤＡＱＴＯＰ２０上場投信,ETF・ETN,,,,,,
20210430,1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF・ETN,,,,,,
20210430,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN,,,,,,
20210430,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF・ETN,,,,,,
20210430,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF・ETN,,,,,,
20210430,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN,,,,,,
20210430,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN,,,,,,
20210430,1563,マザーズ・コア上場投信,ETF・ETN,,,,,,
20210430,1566,上場インデックスファンド新興国債券,ETF・ETN,,,,,,
20210430,1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信,ETF・ETN,,,,,,
20210430,1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN,,,,,,
20210430,1569,ＴＯＰＩＸベア上場投信,ETF・ETN,,,,,,
20210430,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1572,中国Ｈ株ブル２倍上場投信,ETF・ETN,,,,,,
20210430,1573,中国Ｈ株ベア上場投信,ETF・ETN,,,,,,
20210430,1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信,ETF・ETN,,,,,,
20210430,1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦＪＤＲ,ETF・ETN,,,,,,
20210430,1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,ETF・ETN,,,,,,
20210430,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN,,,,,,
20210430,1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN,,,,,,
20210430,1579,日経平均ブル２倍上場投信,ETF・ETN,,,,,,
20210430,1580,日経平均ベア上場投信,ETF・ETN,,,,,,
20210430,1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF・ETN,,,,,,
20210430,1585,ダイワ上場投信・ＴＯＰＩＸ　ＥｘＦｉｎａｎｃｉａｌｓ,ETF・ETN,,,,,,
20210430,1586,上場インデックスファンドＴＯＰＩＸ　ＥｘＦｉｎａｎｃｉａｌｓ,ETF・ETN,,,,,,
20210430,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN,,,,,,
20210430,1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN,,,,,,
20210430,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN,,,,,,
20210430,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN,,,,,,
20210430,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　ＥｘＦｉｎａｎｃｉａｌｓ,ETF・ETN,,,,,,
20210430,1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN,,,,,,
20210430,1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信,ETF・ETN,,,,,,
20210430,1599,ダイワ上場投信ＪＰＸ日経４００,ETF・ETN,,,,,,
20210430,1605,ＩＮＰＥＸ,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,4,TOPIX Mid400
20210430,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF・ETN,,,,,,
20210430,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ１７）上場投信,ETF・ETN,,,,,,
20210430,1651,ダイワ上場投信ＴＯＰＩＸ高配当４０指数,ETF・ETN,,,,,,
20210430,1652,ダイワ上場投信ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN,,,,,,
20210430,1653,ダイワ上場投信ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN,,,,,,
20210430,1654,ダイワ上場投信ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN,,,,,,
20210430,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN,,,,,,
20210430,1656,ｉシェアーズ・コア　米国債７１０年　ＥＴＦ,ETF・ETN,,,,,,
20210430,1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF・ETN,,,,,,
20210430,1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN,,,,,,
20210430,1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN,,,,,,
20210430,1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,,,,,,
20210430,1662,石油資源開発,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1
20210430,1663,Ｋ＆Ｏエナジーグループ,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20210430,1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN,,,,,,
20210430,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN,,,,,,
20210430,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN,,,,,,
20210430,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN,,,,,,
20210430,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN,,,,,,
20210430,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN,,,,,,
20210430,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN,,,,,,
20210430,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信,ETF・ETN,,,,,,
20210430,1679,ＳｉｍｐｌｅＸ　ＮＹダウ・ジョーンズ・インデックス上場投信,ETF・ETN,,,,,,
20210430,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩＫＯＫＵＳＡＩ）,ETF・ETN,,,,,,
20210430,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,ETF・ETN,,,,,,
20210430,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信,ETF・ETN,,,,,,
20210430,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN,,,,,,
20210430,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN,,,,,,
20210430,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN,,,,,,
20210430,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN,,,,,,
20210430,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN,,,,,,
20210430,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN,,,,,,
20210430,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN,,,,,,
20210430,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN,,,,,,
20210430,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN,,,,,,
20210430,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN,,,,,,
20210430,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN,,,,,,
20210430,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN,,,,,,
20210430,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN,,,,,,
20210430,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN,,,,,,
20210430,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN,,,,,,
20210430,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信,ETF・ETN,,,,,,
20210430,1711,省電舎ホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材 ,,
20210430,1712,ダイセキ環境ソリューション,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1716,第一カッター興業,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1717,明豊ファシリティワークス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210430,1718,美樹工業,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1719,安藤・間,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20210430,1720,東急建設,市場第一部（内国株）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1
20210430,1721,コムシスホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400
20210430,1723,日本電技,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1724,シンクレイヤ,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
20210430,1726,ビーアールホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210430,1728,ミサワホーム中国,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,,
